,timestamp,open,high,low,close,volume,datetime,date
343,1680566400000,28213.9296875,28287.419921875,28139.119140625,28287.419921875,73300000,2023-04-04 00:00:00,2023-04-04
342,1680480000000,28203.349609375,28258.91015625,28120.7109375,28188.150390625,75000000,2023-04-03 00:00:00,2023-04-03
341,1680220800000,28009.220703125,28124.619140625,27986.619140625,28041.48046875,91100000,2023-03-31 00:00:00,2023-03-31
340,1680134400000,27827.890625,27876.380859375,27630.55078125,27782.9296875,82000000,2023-03-30 00:00:00,2023-03-30
339,1680048000000,27549.369140625,27897.720703125,27505.48046875,27883.779296875,83800000,2023-03-29 00:00:00,2023-03-29
338,1679961600000,27573.8203125,27603.44921875,27432.759765625,27518.25,66400000,2023-03-28 00:00:00,2023-03-28
337,1679875200000,27482.390625,27543.48046875,27359.720703125,27476.869140625,57400000,2023-03-27 00:00:00,2023-03-27
336,1679616000000,27368.619140625,27397.2890625,27257.439453125,27385.25,59500000,2023-03-24 00:00:00,2023-03-24
335,1679529600000,27232.970703125,27461.970703125,27175.630859375,27419.609375,64100000,2023-03-23 00:00:00,2023-03-23
334,1679443200000,27298.150390625,27520.970703125,27267.259765625,27466.609375,78100000,2023-03-22 00:00:00,2023-03-22
333,1679270400000,27253.73046875,27367.1796875,26945.669921875,26945.669921875,79200000,2023-03-20 00:00:00,2023-03-20
332,1679011200000,27232.23046875,27356.150390625,27071.7109375,27333.7890625,101500000,2023-03-17 00:00:00,2023-03-17
331,1678924800000,26796.669921875,27057.5390625,26632.919921875,27010.609375,107100000,2023-03-16 00:00:00,2023-03-16
330,1678838400000,27421.66015625,27424.939453125,27105.990234375,27229.48046875,86600000,2023-03-15 00:00:00,2023-03-15
329,1678752000000,27455.94921875,27455.94921875,27104.75,27222.0390625,125700000,2023-03-14 00:00:00,2023-03-14
328,1678665600000,27886.2109375,27906.970703125,27631.529296875,27832.9609375,96100000,2023-03-13 00:00:00,2023-03-13
327,1678406400000,28385.2890625,28424.240234375,28118.740234375,28143.970703125,111300000,2023-03-10 00:00:00,2023-03-10
326,1678320000000,28648.109375,28734.7890625,28558.880859375,28623.150390625,72300000,2023-03-09 00:00:00,2023-03-09
325,1678233600000,28237.2109375,28469.41015625,28232.6796875,28444.189453125,67200000,2023-03-08 00:00:00,2023-03-08
324,1678147200000,28202.58984375,28398.26953125,28202.58984375,28309.16015625,69800000,2023-03-07 00:00:00,2023-03-07
323,1678060800000,28182.310546875,28288.619140625,28153.8203125,28237.779296875,65700000,2023-03-06 00:00:00,2023-03-06
322,1677801600000,27683.259765625,27961.2109375,27655.33984375,27927.470703125,78200000,2023-03-03 00:00:00,2023-03-03
321,1677715200000,27564.8203125,27617.80078125,27408.5390625,27498.869140625,69300000,2023-03-02 00:00:00,2023-03-02
320,1677628800000,27363.5703125,27530.759765625,27305.369140625,27516.529296875,69800000,2023-03-01 00:00:00,2023-03-01
319,1677542400000,27515.33984375,27585.169921875,27400.359375,27445.560546875,86300000,2023-02-28 00:00:00,2023-02-28
318,1677456000000,27322.73046875,27456.220703125,27292.740234375,27423.9609375,59400000,2023-02-27 00:00:00,2023-02-27
317,1677196800000,27144.720703125,27465.900390625,27128.3203125,27453.48046875,76000000,2023-02-24 00:00:00,2023-02-24
316,1677024000000,27265.990234375,27300.529296875,27046.080078125,27104.3203125,74700000,2023-02-22 00:00:00,2023-02-22
315,1676937600000,27486.08984375,27538.2890625,27359.119140625,27473.099609375,61600000,2023-02-21 00:00:00,2023-02-21
314,1676851200000,27497.130859375,27531.939453125,27426.48046875,27531.939453125,62500000,2023-02-20 00:00:00,2023-02-20
313,1676592000000,27484.599609375,27608.58984375,27466.609375,27513.130859375,68800000,2023-02-17 00:00:00,2023-02-17
312,1676505600000,27654.720703125,27727.66015625,27597.119140625,27696.439453125,68100000,2023-02-16 00:00:00,2023-02-16
311,1676419200000,27686.009765625,27720.26953125,27444.130859375,27501.859375,72100000,2023-02-15 00:00:00,2023-02-15
310,1676332800000,27705.369140625,27721.8203125,27553.1796875,27602.76953125,55800000,2023-02-14 00:00:00,2023-02-14
309,1676246400000,27550.349609375,27570.3203125,27266.939453125,27427.3203125,70400000,2023-02-13 00:00:00,2023-02-13
308,1675987200000,27711.25,27814.01953125,27609.330078125,27670.98046875,88800000,2023-02-10 00:00:00,2023-02-10
